latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-19.50241,-44.2632,336.94,0.57,0.69,2023-11-02,1544,N,nominal,2.0NRT,287.25,5.41,D
-17.6102,-39.29814,340.12,0.52,0.5,2023-11-02,1546,N,nominal,2.0NRT,290.18,11.41,D
-17.28438,-39.24196,345.01,0.51,0.49,2023-11-02,1546,N,nominal,2.0NRT,292.52,8.79,D
-17.12789,-39.21553,351.63,0.5,0.49,2023-11-02,1546,N,nominal,2.0NRT,292.76,14.78,D
-17.12331,-39.21609,349.48,0.5,0.49,2023-11-02,1546,N,nominal,2.0NRT,291.4,11.97,D
-17.12881,-39.21843,333.61,0.5,0.49,2023-11-02,1546,N,nominal,2.0NRT,291.21,7.79,D
-17.12365,-39.21423,348.56,0.5,0.49,2023-11-02,1546,N,nominal,2.0NRT,292.15,20.25,D
-17.12423,-39.21901,340.91,0.5,0.49,2023-11-02,1546,N,nominal,2.0NRT,291.26,7.79,D
-17.60895,-46.75683,331.16,0.79,0.78,2023-11-02,1546,N,nominal,2.0NRT,284.11,12.93,D
-17.60831,-46.749,358.03,0.79,0.78,2023-11-02,1546,N,low,2.0NRT,284.65,12.93,D
-16.81828,-39.3405,367,0.51,0.49,2023-11-02,1546,N,high,2.0NRT,290.48,19.53,D
-16.81772,-39.33562,339.68,0.51,0.49,2023-11-02,1546,N,nominal,2.0NRT,290.33,9.95,D
-16.81842,-39.33838,367,0.51,0.49,2023-11-02,1546,N,high,2.0NRT,291.34,13.71,D
-16.81901,-39.34323,341.73,0.51,0.49,2023-11-02,1546,N,nominal,2.0NRT,289.04,13.71,D
-17.42457,-45.8809,345.23,0.69,0.74,2023-11-02,1546,N,nominal,2.0NRT,286.73,12.12,D
-17.41998,-45.88296,347.12,0.69,0.74,2023-11-02,1546,N,nominal,2.0NRT,286.73,11.82,D
-16.92523,-43.26636,332.98,0.46,0.64,2023-11-02,1546,N,nominal,2.0NRT,289.38,3.81,D
-16.78861,-42.00582,334.58,0.38,0.59,2023-11-02,1546,N,nominal,2.0NRT,290.67,3.38,D
-16.80746,-42.23068,342.55,0.39,0.6,2023-11-02,1546,N,nominal,2.0NRT,291.43,5,D
-16.64692,-42.35618,354.28,0.4,0.6,2023-11-02,1546,N,nominal,2.0NRT,296.19,40.69,D
-16.45214,-41.4593,334.2,0.35,0.56,2023-11-02,1546,N,nominal,2.0NRT,286.49,2.41,D
-16.41925,-41.83625,329.06,0.37,0.58,2023-11-02,1546,N,nominal,2.0NRT,289.97,11.69,D
-16.41969,-41.84026,356.31,0.37,0.58,2023-11-02,1546,N,nominal,2.0NRT,293,11.69,D
-16.41434,-41.84137,329.12,0.37,0.58,2023-11-02,1546,N,nominal,2.0NRT,290.15,3.19,D
-16.17113,-40.35589,330.52,0.58,0.52,2023-11-02,1546,N,nominal,2.0NRT,295.8,6.87,D
-15.88229,-38.93335,337.39,0.47,0.47,2023-11-02,1546,N,nominal,2.0NRT,293.29,8.23,D
-15.76505,-39.99516,332.95,0.54,0.51,2023-11-02,1546,N,nominal,2.0NRT,291.27,3.05,D
-15.58438,-38.96863,341.35,0.46,0.47,2023-11-02,1546,N,nominal,2.0NRT,293.33,9.73,D
-15.58494,-38.97302,337.72,0.46,0.47,2023-11-02,1546,N,nominal,2.0NRT,293.49,7.98,D
-15.5648,-39.211,336.85,0.48,0.48,2023-11-02,1546,N,nominal,2.0NRT,291.55,3.25,D
-15.5342,-39.14567,349.01,0.48,0.48,2023-11-02,1546,N,nominal,2.0NRT,297.21,15.79,D
-15.53475,-39.15022,332.39,0.48,0.48,2023-11-02,1546,N,nominal,2.0NRT,295.7,22.88,D
-15.52974,-39.14624,353.73,0.48,0.48,2023-11-02,1546,N,nominal,2.0NRT,294.89,15.79,D
-15.53029,-39.15079,353.2,0.48,0.48,2023-11-02,1546,N,nominal,2.0NRT,298.41,22.88,D
-15.52758,-39.15309,336.52,0.48,0.48,2023-11-02,1546,N,nominal,2.0NRT,290.56,15.33,D
-15.64676,-40.26093,330.67,0.56,0.52,2023-11-02,1546,N,nominal,2.0NRT,291.35,3.56,D
-15.59238,-40.73204,338.12,0.61,0.53,2023-11-02,1546,N,nominal,2.0NRT,292.28,6.1,D
-15.43497,-40.47478,330.81,0.58,0.52,2023-11-02,1546,N,nominal,2.0NRT,294.37,5.6,D
-15.91301,-45.16331,357.19,0.6,0.7,2023-11-02,1546,N,low,2.0NRT,286.45,12.43,D
-15.9064,-45.16407,340.26,0.6,0.7,2023-11-02,1546,N,nominal,2.0NRT,290.07,12.43,D
-15.34562,-40.53205,334.4,0.58,0.52,2023-11-02,1546,N,nominal,2.0NRT,293.39,6.18,D
-15.6228,-43.26694,340.96,0.45,0.63,2023-11-02,1546,N,nominal,2.0NRT,291.21,8.75,D
-15.39642,-41.54494,343.37,0.34,0.56,2023-11-02,1546,N,nominal,2.0NRT,293.22,2.84,D
-15.07111,-39.10411,330.73,0.47,0.47,2023-11-02,1546,N,nominal,2.0NRT,290.21,3.97,D
-15.27097,-41.61217,354.63,0.34,0.56,2023-11-02,1546,N,nominal,2.0NRT,296.01,7.58,D
-15.27147,-41.612,353.06,0.34,0.56,2023-11-02,1546,N,nominal,2.0NRT,295.2,6.14,D
-15.48799,-44.17239,343.24,0.51,0.66,2023-11-02,1546,N,nominal,2.0NRT,289.03,5.32,D
-15.2838,-42.34626,367,0.38,0.59,2023-11-02,1546,N,high,2.0NRT,290.7,9.36,D
-15.2842,-42.34996,335.47,0.38,0.59,2023-11-02,1546,N,nominal,2.0NRT,290.08,9.36,D
-15.30808,-43.39689,367,0.45,0.63,2023-11-02,1546,N,high,2.0NRT,292.26,12.84,D
-15.30219,-43.39753,367,0.45,0.63,2023-11-02,1546,N,high,2.0NRT,295.04,18.66,D
-14.80438,-39.29288,341.66,0.48,0.48,2023-11-02,1546,N,nominal,2.0NRT,295.08,7.22,D
-15.01547,-41.2204,367,0.32,0.55,2023-11-02,1546,N,high,2.0NRT,294.55,9.44,D
-15.01512,-41.21736,338,0.32,0.55,2023-11-02,1546,N,nominal,2.0NRT,293.76,8.75,D
-15.01778,-41.21877,367,0.32,0.55,2023-11-02,1546,N,high,2.0NRT,294.71,12.66,D
-15.01814,-41.22184,337.39,0.32,0.55,2023-11-02,1546,N,nominal,2.0NRT,292.55,6.52,D
-15.02653,-41.51291,330.93,0.34,0.56,2023-11-02,1546,N,nominal,2.0NRT,290.6,1.75,D
-14.59948,-39.47585,338.01,0.49,0.48,2023-11-02,1546,N,nominal,2.0NRT,290.39,4.53,D
-14.62997,-41.29186,367,0.32,0.55,2023-11-02,1546,N,high,2.0NRT,296.73,16.38,D
-14.63031,-41.29478,367,0.32,0.55,2023-11-02,1546,N,high,2.0NRT,293.71,8.47,D
-14.67705,-43.09235,367,0.42,0.61,2023-11-02,1546,N,high,2.0NRT,295.27,9.03,D
-14.46697,-42.17549,345.48,0.37,0.58,2023-11-02,1546,N,nominal,2.0NRT,293.58,4.61,D
-14.23898,-41.67914,345.4,0.34,0.56,2023-11-02,1546,N,nominal,2.0NRT,294.04,3.21,D
-14.17385,-41.23569,337.17,0.63,0.54,2023-11-02,1546,N,nominal,2.0NRT,294.81,15.63,D
-14.47096,-47.04572,345.55,0.76,0.77,2023-11-02,1546,N,nominal,2.0NRT,285.37,9.44,D
-13.8659,-41.41379,338.29,0.32,0.55,2023-11-02,1546,N,nominal,2.0NRT,287.63,2.14,D
-14.47607,-47.04199,336.32,0.76,0.77,2023-11-02,1546,N,nominal,2.0NRT,286.96,8.06,D
-13.86624,-41.76306,343.26,0.34,0.56,2023-11-02,1546,N,nominal,2.0NRT,280.71,3.56,D
-13.69918,-41.04351,333.62,0.6,0.53,2023-11-02,1546,N,nominal,2.0NRT,296.18,4.58,D
-13.66538,-41.01268,338.49,0.6,0.53,2023-11-02,1546,N,nominal,2.0NRT,297.08,9.8,D
-13.61924,-40.71436,332.58,0.57,0.52,2023-11-02,1546,N,nominal,2.0NRT,298.9,5.33,D
-13.6168,-41.02463,335.43,0.6,0.53,2023-11-02,1546,N,nominal,2.0NRT,291.09,6.04,D
-13.61533,-41.02681,336.53,0.6,0.53,2023-11-02,1546,N,nominal,2.0NRT,293.16,4.45,D
-13.52836,-40.76471,333.63,0.57,0.52,2023-11-02,1546,N,nominal,2.0NRT,296.55,4.83,D
-13.52905,-40.7703,334.38,0.57,0.52,2023-11-02,1546,N,nominal,2.0NRT,296.65,4.83,D
-13.51275,-40.92112,343.33,0.59,0.53,2023-11-02,1546,N,nominal,2.0NRT,296.89,23.63,D
-13.51342,-40.92676,353.79,0.59,0.53,2023-11-02,1546,N,nominal,2.0NRT,298.85,23.63,D
-13.50853,-40.92729,347.55,0.59,0.53,2023-11-02,1546,N,nominal,2.0NRT,297.54,17.23,D
-13.51111,-40.92381,367,0.59,0.52,2023-11-02,1546,N,high,2.0NRT,299.2,57.36,D
-13.51182,-40.92942,340.26,0.59,0.53,2023-11-02,1546,N,nominal,2.0NRT,297.52,20.58,D
-13.45475,-40.99005,332.35,0.59,0.53,2023-11-02,1546,N,nominal,2.0NRT,296.3,8.45,D
-13.75547,-43.77152,344.73,0.46,0.63,2023-11-02,1546,N,nominal,2.0NRT,287.3,11.76,D
-13.64452,-43.77964,339.32,0.46,0.63,2023-11-02,1546,N,nominal,2.0NRT,282.31,6.19,D
-13.24082,-42.31791,340.93,0.36,0.57,2023-11-02,1546,N,nominal,2.0NRT,291.77,3.99,D
-13.23833,-42.31938,335.93,0.36,0.57,2023-11-02,1546,N,nominal,2.0NRT,291.78,2.73,D
-13.29461,-43.47566,336.64,0.43,0.62,2023-11-02,1546,N,nominal,2.0NRT,287.24,4.5,D
-12.91408,-40.37559,334.96,0.53,0.5,2023-11-02,1546,N,nominal,2.0NRT,295.65,6,D
-12.85485,-41.83967,346.01,0.33,0.55,2023-11-02,1546,N,nominal,2.0NRT,293,3.93,D
-12.68153,-41.42357,338.93,0.62,0.54,2023-11-02,1546,N,nominal,2.0NRT,291.74,7.67,D
-12.67654,-41.42419,335.6,0.62,0.54,2023-11-02,1546,N,nominal,2.0NRT,291.74,7.67,D
-13.2252,-47.37776,334.53,0.78,0.78,2023-11-02,1546,N,nominal,2.0NRT,282.69,13.88,D
-12.71842,-43.41367,343.91,0.42,0.61,2023-11-02,1546,N,nominal,2.0NRT,293.08,6.65,D
-12.72107,-43.43742,340.66,0.42,0.61,2023-11-02,1546,N,nominal,2.0NRT,291.51,3.62,D
-12.71753,-43.41593,336.49,0.42,0.61,2023-11-02,1546,N,nominal,2.0NRT,292.39,3.89,D
-12.72034,-43.43965,335.04,0.42,0.61,2023-11-02,1546,N,nominal,2.0NRT,289.48,2.33,D
-12.75207,-44.12263,341.83,0.47,0.64,2023-11-02,1546,N,nominal,2.0NRT,289.55,7.75,D
-12.48636,-42.33932,332.66,0.35,0.57,2023-11-02,1546,N,nominal,2.0NRT,294.84,3.45,D
-12.27856,-40.95989,340.78,0.57,0.52,2023-11-02,1546,N,nominal,2.0NRT,299.5,10.55,D
-12.7514,-45.12363,355.69,0.55,0.68,2023-11-02,1546,N,nominal,2.0NRT,289.09,9.98,D
-12.75369,-45.1446,332.09,0.55,0.68,2023-11-02,1546,N,nominal,2.0NRT,289.14,5.63,D
-12.7445,-45.11942,333.37,0.55,0.68,2023-11-02,1546,N,nominal,2.0NRT,288.92,9.98,D
-12.74507,-45.12462,357.17,0.55,0.68,2023-11-02,1546,N,low,2.0NRT,288.51,9.98,D
-12.31497,-42.71652,341.4,0.37,0.58,2023-11-02,1546,N,nominal,2.0NRT,295.97,5.89,D
-12.46141,-44.40685,367,0.49,0.65,2023-11-02,1546,N,high,2.0NRT,294.43,17.19,D
-12.46089,-44.40225,356.16,0.49,0.65,2023-11-02,1546,N,nominal,2.0NRT,294.18,17.19,D
-12.44825,-44.7222,332.84,0.51,0.66,2023-11-02,1546,N,nominal,2.0NRT,290.03,6.05,D
-12.26539,-44.53802,342.46,0.49,0.65,2023-11-02,1546,N,nominal,2.0NRT,289.42,27.54,D
-12.26591,-44.54265,336.29,0.49,0.65,2023-11-02,1546,N,nominal,2.0NRT,289.67,13.73,D
-12.25929,-44.53873,367,0.49,0.65,2023-11-02,1546,N,high,2.0NRT,292.54,27.54,D
-12.25981,-44.54335,349.78,0.49,0.65,2023-11-02,1546,N,nominal,2.0NRT,289.11,13.73,D
-12.32263,-45.16402,357.36,0.54,0.68,2023-11-02,1546,N,low,2.0NRT,289.9,27.83,D
-12.32319,-45.1692,357.41,0.54,0.68,2023-11-02,1546,N,low,2.0NRT,288.37,29.09,D
-12.31627,-45.1647,349.34,0.54,0.68,2023-11-02,1546,N,nominal,2.0NRT,287.44,27.83,D
-12.3211,-45.16752,356.43,0.54,0.68,2023-11-02,1546,N,nominal,2.0NRT,288.83,35.09,D
-12.32049,-45.16235,356.82,0.54,0.68,2023-11-02,1546,N,low,2.0NRT,287,39.61,D
-11.16307,-37.26692,332.94,0.49,0.4,2023-11-02,1546,N,low,2.0NRT,296.79,2.27,D
-11.26867,-38.16673,334.77,0.55,0.43,2023-11-02,1546,N,low,2.0NRT,300.28,8.23,D
-11.15581,-37.37845,335,0.49,0.41,2023-11-02,1546,N,nominal,2.0NRT,298.02,4.43,D
-11.15206,-37.37899,337.68,0.49,0.41,2023-11-02,1546,N,nominal,2.0NRT,297.77,4.43,D
-11.29834,-38.81551,330.78,0.4,0.44,2023-11-02,1546,N,nominal,2.0NRT,292.19,3.05,D
-11.78779,-42.92199,356.53,0.38,0.59,2023-11-02,1546,N,nominal,2.0NRT,288.85,5.31,D
-11.40613,-40.12776,342.18,0.49,0.48,2023-11-02,1546,N,nominal,2.0NRT,295.32,5.33,D
-10.88349,-37.13209,333.04,0.48,0.4,2023-11-02,1546,N,nominal,2.0NRT,298.12,2.19,D
-11.09824,-40.68857,342.33,0.52,0.5,2023-11-02,1546,N,nominal,2.0NRT,293.1,5.72,D
-10.88498,-40.52113,335.15,0.51,0.49,2023-11-02,1546,N,nominal,2.0NRT,297.06,6.05,D
-10.88589,-40.52414,334.6,0.51,0.49,2023-11-02,1546,N,nominal,2.0NRT,296.4,6.74,D
-10.65033,-39.26811,342.3,0.42,0.45,2023-11-02,1546,N,nominal,2.0NRT,297.89,15.16,D
-10.65084,-39.27193,339.45,0.42,0.45,2023-11-02,1546,N,nominal,2.0NRT,297.62,15.16,D
-10.58302,-38.98542,350.33,0.4,0.44,2023-11-02,1546,N,nominal,2.0NRT,298.52,5.44,D
-10.7029,-40.33776,338.47,0.49,0.49,2023-11-02,1546,N,nominal,2.0NRT,292.89,5.34,D
-10.78957,-41.34117,335.05,0.57,0.52,2023-11-02,1548,N,nominal,2.0NRT,295.68,8.42,D
-11.15277,-44.62417,333.83,0.48,0.65,2023-11-02,1548,N,nominal,2.0NRT,284.21,5.95,D
-11.03219,-44.9192,352.51,0.5,0.66,2023-11-02,1548,N,nominal,2.0NRT,279.15,11.18,D
-9.82179,-35.9008,333.39,0.41,0.37,2023-11-02,1548,N,low,2.0NRT,297.32,3.48,D
-9.82234,-35.90458,335.99,0.41,0.37,2023-11-02,1548,N,low,2.0NRT,297.41,3.48,D
-9.81834,-35.90131,331.51,0.41,0.37,2023-11-02,1548,N,low,2.0NRT,296.19,7.5,D
-9.73917,-35.85466,332.47,0.41,0.37,2023-11-02,1548,N,nominal,2.0NRT,297.17,2.81,D
-10.18256,-39.199,333.37,0.41,0.45,2023-11-02,1548,N,nominal,2.0NRT,296.86,7.56,D
-9.51212,-35.6104,351.34,0.4,0.37,2023-11-02,1548,N,nominal,2.0NRT,299.64,8.14,D
-9.51266,-35.61411,337.14,0.4,0.37,2023-11-02,1548,N,nominal,2.0NRT,298.35,8.14,D
-9.42573,-36.12183,337.8,0.42,0.38,2023-11-02,1548,N,nominal,2.0NRT,302.84,7.44,D
-10.44586,-44.51925,351.24,0.47,0.64,2023-11-02,1548,N,nominal,2.0NRT,285.16,17.18,D
-10.44638,-44.52365,344.5,0.47,0.64,2023-11-02,1548,N,nominal,2.0NRT,283.56,15.33,D
-10.43991,-44.52006,344.11,0.47,0.64,2023-11-02,1548,N,nominal,2.0NRT,286.22,17.18,D
-10.44043,-44.52446,356.67,0.47,0.64,2023-11-02,1548,N,nominal,2.0NRT,286.33,15.33,D
-10.44235,-44.51898,339.13,0.47,0.64,2023-11-02,1548,N,nominal,2.0NRT,285.99,22.53,D
-10.4429,-44.52336,355.77,0.47,0.64,2023-11-02,1548,N,nominal,2.0NRT,288.16,30.97,D
-10.19342,-42.6624,330.82,0.35,0.56,2023-11-02,1548,N,nominal,2.0NRT,288.82,2.75,D
-10.39037,-44.58813,339.36,0.47,0.64,2023-11-02,1548,N,nominal,2.0NRT,285.63,4.35,D
-9.61057,-40.55945,338.88,0.49,0.49,2023-11-02,1548,N,nominal,2.0NRT,294.56,5.2,D
-8.78096,-35.44468,330.76,0.4,0.37,2023-11-02,1548,N,nominal,2.0NRT,298.44,3.38,D
-8.6592,-35.28236,336.38,0.39,0.36,2023-11-02,1548,N,nominal,2.0NRT,294.95,4.34,D
-8.87893,-38.05093,345.8,0.51,0.41,2023-11-02,1548,N,low,2.0NRT,303.93,12.92,D
-9.7536,-44.86546,334.11,0.48,0.65,2023-11-02,1548,N,nominal,2.0NRT,288.99,4.84,D
-8.91696,-38.46182,342.6,0.53,0.42,2023-11-02,1548,N,nominal,2.0NRT,300.85,13.31,D
-9.75235,-44.86479,331.62,0.48,0.65,2023-11-02,1548,N,nominal,2.0NRT,288.66,4.37,D
-8.27889,-35.32948,345.8,0.39,0.36,2023-11-02,1548,N,nominal,2.0NRT,298.28,7.32,D
-8.27942,-35.33305,346.61,0.39,0.36,2023-11-02,1548,N,nominal,2.0NRT,298.94,7.32,D
-8.91416,-40.70258,356.3,0.49,0.49,2023-11-02,1548,N,nominal,2.0NRT,295.49,11.93,D
-8.90966,-40.70322,367,0.49,0.49,2023-11-02,1548,N,high,2.0NRT,296.32,23.84,D
-8.54822,-40.27695,345.4,0.45,0.47,2023-11-02,1548,N,nominal,2.0NRT,298.85,58.55,D
-8.54387,-40.27757,334.19,0.45,0.47,2023-11-02,1548,N,nominal,2.0NRT,300.16,58.55,D
-7.98259,-38.39462,330.62,0.51,0.41,2023-11-02,1548,N,low,2.0NRT,298.61,6.82,D
-7.75144,-37.96081,333.31,0.49,0.4,2023-11-02,1548,N,low,2.0NRT,297.73,5.91,D
-8.08431,-40.50677,337.92,0.46,0.47,2023-11-02,1548,N,nominal,2.0NRT,297.8,9.74,D
-8.0849,-40.51097,337.55,0.46,0.47,2023-11-02,1548,N,nominal,2.0NRT,298.83,9.74,D
-7.19307,-35.04309,333.03,0.39,0.36,2023-11-02,1548,N,nominal,2.0NRT,302.37,3.52,D
-7.17603,-35.02061,341.72,0.39,0.36,2023-11-02,1548,N,nominal,2.0NRT,300.55,6.44,D
-7.16901,-34.99662,346.15,0.39,0.36,2023-11-02,1548,N,nominal,2.0NRT,301.45,3.3,D
-7.93634,-40.3772,354.72,0.45,0.47,2023-11-02,1548,N,nominal,2.0NRT,303.99,21.35,D
-7.11726,-34.94729,338.18,0.39,0.36,2023-11-02,1548,N,nominal,2.0NRT,298.57,2.2,D
-7.35348,-38.24649,343.84,0.5,0.41,2023-11-02,1548,N,nominal,2.0NRT,299.5,9.33,D
-7.35309,-38.24449,339.09,0.5,0.41,2023-11-02,1548,N,nominal,2.0NRT,299.23,8.45,D
-6.79826,-35.26942,341.76,0.39,0.36,2023-11-02,1548,N,nominal,2.0NRT,297.47,3.84,D
-7.47271,-40.04097,356.71,0.42,0.46,2023-11-02,1548,N,nominal,2.0NRT,305.37,9.43,D
-7.47326,-40.04487,332.5,0.42,0.46,2023-11-02,1548,N,low,2.0NRT,303.47,9.43,D
-7.4685,-40.04155,344.82,0.42,0.46,2023-11-02,1548,N,nominal,2.0NRT,303.75,8.67,D
-7.35105,-39.33226,338.92,0.57,0.43,2023-11-02,1548,N,nominal,2.0NRT,301.91,35.66,D
-7.03385,-37.89785,333.66,0.47,0.4,2023-11-02,1548,N,low,2.0NRT,302.83,3.72,D
-7.14061,-39.68778,337.5,0.4,0.44,2023-11-02,1548,N,nominal,2.0NRT,297.33,5.76,D
-6.60868,-36.44429,334.88,0.41,0.37,2023-11-02,1548,N,nominal,2.0NRT,301.46,4.53,D
-7.25656,-41.5485,331.4,0.53,0.5,2023-11-02,1548,N,nominal,2.0NRT,293.22,5.74,D
-7.13716,-41.35893,340.95,0.51,0.49,2023-11-02,1548,N,nominal,2.0NRT,292.08,11,D
-6.36318,-38.34481,333.56,0.49,0.4,2023-11-02,1548,N,nominal,2.0NRT,296.76,5.34,D
-7.1717,-44.27342,332,0.4,0.6,2023-11-02,1548,N,nominal,2.0NRT,292.84,5.87,D
-7.25956,-44.93446,333.72,0.45,0.63,2023-11-02,1548,N,nominal,2.0NRT,290.16,4.27,D
-7.16615,-44.27451,337.23,0.4,0.6,2023-11-02,1548,N,nominal,2.0NRT,291.85,4.68,D
-7.16668,-44.27855,330.14,0.4,0.6,2023-11-02,1548,N,nominal,2.0NRT,291.67,4.68,D
-6.94112,-42.75803,331.35,0.63,0.54,2023-11-02,1548,N,nominal,2.0NRT,299.21,9.73,D
-6.37725,-38.92793,331.92,0.53,0.42,2023-11-02,1548,N,low,2.0NRT,298.84,5.73,D
-6.37671,-38.931,335.54,0.53,0.42,2023-11-02,1548,N,low,2.0NRT,300.21,5.83,D
-6.72399,-43.76287,337.53,0.37,0.58,2023-11-02,1548,N,nominal,2.0NRT,297.92,6.16,D
-6.72444,-43.76629,336.07,0.37,0.58,2023-11-02,1548,N,nominal,2.0NRT,294.57,2.49,D
-6.72149,-43.76435,337.42,0.37,0.58,2023-11-02,1548,N,nominal,2.0NRT,293.4,9.55,D
-6.97073,-45.85833,367,0.51,0.66,2023-11-02,1548,N,high,2.0NRT,292,15.23,D
-6.9701,-45.8536,350.63,0.51,0.66,2023-11-02,1548,N,nominal,2.0NRT,292.24,15.23,D
-6.63199,-43.46865,342.17,0.35,0.57,2023-11-02,1548,N,nominal,2.0NRT,296.27,5.85,D
-6.12461,-39.98388,330.8,0.4,0.44,2023-11-02,1548,N,low,2.0NRT,301.38,2.21,D
-6.55158,-43.42298,330.13,0.35,0.56,2023-11-02,1548,N,low,2.0NRT,300.35,8.27,D
-6.06124,-40.41651,342.88,0.43,0.46,2023-11-02,1548,N,nominal,2.0NRT,298.22,6.43,D
-6.66885,-45.97022,367,0.52,0.67,2023-11-02,1548,N,high,2.0NRT,295.77,26.05,D
-6.66755,-45.96047,331.42,0.52,0.67,2023-11-02,1548,N,nominal,2.0NRT,292.52,16.65,D
-6.6682,-45.96534,342.58,0.52,0.67,2023-11-02,1548,N,nominal,2.0NRT,294.44,16.65,D
-6.6695,-45.97506,354.91,0.52,0.67,2023-11-02,1548,N,nominal,2.0NRT,292.43,26.05,D
-6.67015,-45.9799,335.56,0.52,0.67,2023-11-02,1548,N,nominal,2.0NRT,291.04,8.57,D
-6.66263,-45.97088,367,0.52,0.67,2023-11-02,1548,N,high,2.0NRT,295.19,33.99,D
-6.66198,-45.966,334.11,0.52,0.67,2023-11-02,1548,N,nominal,2.0NRT,292.41,27.27,D
-6.66327,-45.9757,354.38,0.52,0.67,2023-11-02,1548,N,nominal,2.0NRT,291.64,33.99,D
-6.66392,-45.98061,339.49,0.52,0.67,2023-11-02,1548,N,nominal,2.0NRT,289.96,9.79,D
-6.68467,-46.1848,336.07,0.54,0.68,2023-11-02,1548,N,nominal,2.0NRT,292.76,5.66,D
-6.65018,-46.06837,367,0.53,0.67,2023-11-02,1548,N,high,2.0NRT,292.8,15.84,D
-6.64895,-46.05906,333.2,0.53,0.67,2023-11-02,1548,N,nominal,2.0NRT,293.05,15.1,D
-6.64956,-46.06368,356.44,0.53,0.67,2023-11-02,1548,N,nominal,2.0NRT,292.79,15.84,D
-6.64335,-46.06473,367,0.53,0.67,2023-11-02,1548,N,high,2.0NRT,294.41,15.84,D
-6.64398,-46.06953,367,0.53,0.67,2023-11-02,1548,N,high,2.0NRT,294.21,15.84,D
-6.64273,-46.06,355.78,0.53,0.67,2023-11-02,1548,N,nominal,2.0NRT,293.55,15.1,D
-6.44322,-45.72737,332.6,0.5,0.66,2023-11-02,1548,N,nominal,2.0NRT,290.82,3.72,D
-6.44351,-45.72873,338.6,0.5,0.65,2023-11-02,1548,N,nominal,2.0NRT,291.21,6.59,D
-6.04318,-43.71963,330.03,0.36,0.57,2023-11-02,1548,N,nominal,2.0NRT,299.36,6.97,D
-6.4424,-46.65042,338.05,0.57,0.69,2023-11-02,1548,N,nominal,2.0NRT,289.63,7.77,D
-5.14884,-37.57219,342.78,0.44,0.38,2023-11-02,1548,N,nominal,2.0NRT,300.66,7.73,D
-5.31932,-38.89357,336.19,0.51,0.41,2023-11-02,1548,N,nominal,2.0NRT,301.15,8.84,D
-6.14424,-44.92169,331.07,0.43,0.62,2023-11-02,1548,N,nominal,2.0NRT,291.65,11.51,D
-6.14475,-44.92554,351.53,0.43,0.62,2023-11-02,1548,N,nominal,2.0NRT,290.16,16.17,D
-6.14527,-44.92941,335.46,0.43,0.62,2023-11-02,1548,N,nominal,2.0NRT,286.35,16.17,D
-6.13895,-44.92604,367,0.43,0.62,2023-11-02,1548,N,high,2.0NRT,293.25,16.17,D
-6.13844,-44.92218,335.36,0.43,0.62,2023-11-02,1548,N,nominal,2.0NRT,291.83,11.51,D
-6.13946,-44.92991,349.61,0.43,0.62,2023-11-02,1548,N,nominal,2.0NRT,291.32,16.17,D
-6.14409,-44.9218,333.43,0.43,0.62,2023-11-02,1548,N,nominal,2.0NRT,291.75,12.03,D
-6.14463,-44.92564,350.64,0.43,0.62,2023-11-02,1548,N,nominal,2.0NRT,290.42,16.16,D
-6.14517,-44.92951,330.97,0.43,0.62,2023-11-02,1548,N,nominal,2.0NRT,286.77,16.16,D
-6.13882,-44.92612,367,0.43,0.62,2023-11-02,1548,N,high,2.0NRT,292.69,16.16,D
