latitude,longitude,cluster,centroid_distance
-19.50241,-44.2632,0,0.0
-17.6102,-39.29814,1,0.0
-17.28438,-39.24196,2,0.0
-17.12789,-39.21553,3,0.28365392269765305
-17.12331,-39.21609,3,0.2593129494864114
-17.12881,-39.21843,3,0.40572474119994434
-17.12365,-39.21423,3,0.3354563670356095
-17.12423,-39.21901,3,0.29143653093768584
-17.60895,-46.75683,4,0.0
-17.60831,-46.749,5,0.0
-16.81828,-39.3405,6,0.113949892583487
-16.81772,-39.33562,6,0.41194394628855074
-16.81842,-39.33838,6,0.11224229843286262
-16.81901,-39.34323,6,0.4106613150680473
-17.42457,-45.8809,7,0.0
-17.41998,-45.88296,8,0.0
-16.92523,-43.26636,9,0.0
-16.78861,-42.00582,10,0.0
-16.80746,-42.23068,11,0.0
-16.64692,-42.35618,12,0.0
-16.45214,-41.4593,13,0.0
-16.41925,-41.83625,14,0.21524867983935245
-16.41969,-41.84026,14,0.21524843942786892
-16.41434,-41.84137,15,0.0
-16.17113,-40.35589,16,0.0
-15.88229,-38.93335,17,0.0
-15.76505,-39.99516,18,0.0
-15.58438,-38.96863,19,0.23715253668068115
-15.58494,-38.97302,19,0.23715221900329583
-15.5648,-39.211,20,0.0
-15.5342,-39.14567,21,0.49629605116140096
-15.53475,-39.15022,21,0.39754145486190834
-15.52974,-39.14624,21,0.36229212176377645
-15.53029,-39.15079,21,0.2045939746072742
-15.52758,-39.15309,21,0.5879769887359111
-15.64676,-40.26093,22,0.0
-15.59238,-40.73204,23,0.0
-15.43497,-40.47478,24,0.0
-15.91301,-45.16331,25,0.4675678357203711
-15.9064,-45.16407,25,0.2721744502725038
-15.34562,-40.53205,26,0.0
-15.6228,-43.26694,27,0.0
-15.39642,-41.54494,28,0.0
-15.07111,-39.10411,29,0.0
-15.27097,-41.61217,30,0.029255885094893772
-15.27147,-41.612,30,0.029255881709589624
-15.48799,-44.17239,31,0.0
-15.2838,-42.34626,32,0.1996775142657432
-15.2842,-42.34996,32,0.19967732615776998
-15.30808,-43.39689,33,0.0
-15.30219,-43.39753,34,0.0
-14.80438,-39.29288,35,0.0
-15.01547,-41.2204,36,0.15519948103708547
-15.01512,-41.21736,36,0.29255198003482236
-15.01778,-41.21877,36,0.1556470411217257
-15.01814,-41.22184,36,0.2941898180399622
-15.02653,-41.51291,37,0.0
-14.59948,-39.47585,38,0.0
-14.62997,-41.29186,39,0.1582143972306424
-14.63031,-41.29478,39,0.15821427643919883
-14.67705,-43.09235,40,0.0
-14.46697,-42.17549,41,0.0
-14.23898,-41.67914,42,0.0
-14.17385,-41.23569,43,0.0
-14.47096,-47.04572,44,0.0
-13.8659,-41.41379,45,0.0
-14.47607,-47.04199,46,0.35101223118222263
-13.86624,-41.76306,47,0.0
-13.69918,-41.04351,48,0.0
-13.66538,-41.01268,49,0.0
-13.61924,-40.71436,50,0.0
-13.6168,-41.02463,51,0.14337168499783656
-13.61533,-41.02681,51,0.14337198572846832
-13.52836,-40.76471,52,0.0
-13.52905,-40.7703,53,0.0
-13.51275,-40.92112,54,0.5114561760632077
-13.51342,-40.92676,54,0.24080746275001194
-13.50853,-40.92729,54,0.3758763626361156
-13.51111,-40.92381,54,0.2074040919520265
-13.51182,-40.92942,54,0.4056786538769382
-13.45475,-40.99005,55,0.0
-13.75547,-43.77152,56,0.0
-13.64452,-43.77964,57,0.0
-13.24082,-42.31791,58,0.15966899887781824
-13.23833,-42.31938,58,0.1596692015298294
-13.29461,-43.47566,59,0.0
-12.91408,-40.37559,60,0.0
-12.85485,-41.83967,61,0.0
-12.68153,-41.42357,62,0.0
-12.67654,-41.42419,63,0.0
-13.2252,-47.37776,64,0.0
-12.71842,-43.41367,65,0.1321788853902755
-12.72107,-43.43742,66,0.12756782373520928
-12.71753,-43.41593,65,0.13217908461318784
-12.72034,-43.43965,66,0.12756798861657637
-12.75207,-44.12263,67,0.0
-12.48636,-42.33932,68,0.0
-12.27856,-40.95989,69,0.0
-12.7514,-45.12363,70,0.3204639635898632
-12.75369,-45.1446,71,0.0
-12.7445,-45.11942,72,0.0
-12.74507,-45.12462,70,0.39531688074207766
-12.31497,-42.71652,73,0.0
-12.46141,-44.40685,74,0.0
-12.46089,-44.40225,75,0.0
-12.44825,-44.7222,76,0.0
-12.26539,-44.53802,77,0.03606737855456229
-12.26591,-44.54265,78,0.0
-12.25929,-44.53873,79,0.05304351524906479
-12.25981,-44.54335,80,0.0
-12.32263,-45.16402,81,0.20909069789588122
-12.32319,-45.1692,81,0.40094427404501337
-12.31627,-45.1647,82,0.0
-12.3211,-45.16752,81,0.2074600502154153
-12.32049,-45.16235,81,0.4014824229627127
-11.16307,-37.26692,83,0.0
-11.26867,-38.16673,84,0.0
-11.15581,-37.37845,85,0.2105612230431474
-11.15206,-37.37899,85,0.21056124963064785
-11.29834,-38.81551,86,0.0
-11.78779,-42.92199,87,0.0
-11.40613,-40.12776,88,0.0
-10.88349,-37.13209,89,0.0
-11.09824,-40.68857,90,0.0
-10.88498,-40.52113,91,0.17194931709006134
-10.88589,-40.52414,91,0.17194907723113068
-10.65033,-39.26811,92,0.2106410466411402
-10.65084,-39.27193,92,0.21064087353432184
-10.58302,-38.98542,93,0.0
-10.7029,-40.33776,94,0.0
-10.78957,-41.34117,95,0.0
-11.15277,-44.62417,96,0.0
-11.03219,-44.9192,97,0.0
-9.82179,-35.9008,98,0.19000521699514547
-9.82234,-35.90458,98,0.3077932321888036
-9.81834,-35.90131,98,0.2939575238086724
-9.73917,-35.85466,99,0.0
-10.18256,-39.199,100,0.0
-9.51212,-35.6104,101,0.20563422748484422
-9.51266,-35.61411,101,0.20563406857093794
-9.42573,-36.12183,102,0.0
-10.44586,-44.51925,103,0.41315198691607496
-10.44638,-44.52365,103,0.4388484004031627
-10.43991,-44.52006,103,0.3811191259316391
-10.44043,-44.52446,103,0.4193715625834592
-10.44235,-44.51898,103,0.297562484138415
-10.4429,-44.52336,103,0.189713053047053
-10.19342,-42.6624,104,0.0
-10.39037,-44.58813,105,0.0
-9.61057,-40.55945,106,0.0
-8.78096,-35.44468,107,0.0
-8.6592,-35.28236,108,0.0
-8.87893,-38.05093,109,0.0
-9.7536,-44.86546,110,0.07859764455179742
-8.91696,-38.46182,111,0.0
-9.75235,-44.86479,110,0.07859767670313246
-8.27889,-35.32948,112,0.19861278005925503
-8.27942,-35.33305,112,0.19861264933098524
-8.91416,-40.70258,113,0.0
-8.90966,-40.70322,114,0.0
-8.54822,-40.27695,115,0.24423974107786697
-8.54387,-40.27757,115,0.24423976821687454
-7.98259,-38.39462,116,0.0
-7.75144,-37.96081,117,0.0
-8.08431,-40.50677,118,0.23350453280464145
-8.0849,-40.51097,118,0.23350436539828845
-7.19307,-35.04309,119,0.0
-7.17603,-35.02061,120,0.0
-7.16901,-34.99662,121,0.0
-7.93634,-40.3772,122,0.0
-7.11726,-34.94729,123,0.0
-7.35348,-38.24649,124,0.1123919856459548
-7.35309,-38.24449,124,0.11239203317218985
-6.79826,-35.26942,125,0.0
-7.47271,-40.04097,126,0.21333034865140746
-7.47326,-40.04487,126,0.33036330357655186
-7.4685,-40.04155,126,0.3473877152525158
-7.35105,-39.33226,127,0.0
-7.03385,-37.89785,128,0.0
-7.14061,-39.68778,129,0.0
-6.60868,-36.44429,130,0.0
-7.25656,-41.5485,131,0.0
-7.13716,-41.35893,132,0.0
-6.36318,-38.34481,133,0.0
-7.1717,-44.27342,134,0.0
-7.25956,-44.93446,135,0.0
-7.16615,-44.27451,136,0.22479905855210416
-7.16668,-44.27855,136,0.22479893007051863
-6.94112,-42.75803,137,0.0
-6.37725,-38.92793,138,0.1722646973670635
-6.37671,-38.931,138,0.17226478533731365
-6.72399,-43.76287,139,0.19572079832748604
-6.72444,-43.76629,139,0.2341141400398608
-6.72149,-43.76435,139,0.20271283140447766
-6.97073,-45.85833,140,0.0
-6.9701,-45.8536,141,0.0
-6.63199,-43.46865,142,0.0
-6.12461,-39.98388,143,0.0
-6.55158,-43.42298,144,0.0
-6.06124,-40.41651,145,0.0
-6.66885,-45.97022,146,0.0
-6.66755,-45.96047,147,0.0
-6.6682,-45.96534,148,0.0
-6.6695,-45.97506,149,0.2984770544339436
-6.67015,-45.9799,149,0.2512516448153844
-6.66263,-45.97088,150,0.0
-6.66198,-45.966,151,0.0
-6.66327,-45.9757,152,0.0
-6.66392,-45.98061,153,0.0
-6.68467,-46.1848,154,0.0
-6.65018,-46.06837,155,0.0
-6.64895,-46.05906,156,0.0
-6.64956,-46.06368,157,0.0
-6.64335,-46.06473,158,0.0
-6.64398,-46.06953,159,0.0
-6.64273,-46.06,160,0.0
-6.44322,-45.72737,161,0.07684552472422781
-6.44351,-45.72873,161,0.0768455037288219
-6.04318,-43.71963,162,0.0
-6.4424,-46.65042,163,0.0
-5.14884,-37.57219,164,0.0
-5.31932,-38.89357,165,0.0
-6.14424,-44.92169,166,0.4349998035735059
-6.14475,-44.92554,166,0.00914681288943288
-6.14527,-44.92941,166,0.42628187017690855
-6.13895,-44.92604,167,0.008730041617194876
-6.13844,-44.92218,167,0.4347575849661827
-6.13946,-44.92991,167,0.42747826462885125
-6.14409,-44.9218,166,0.42522566017716606
-6.14463,-44.92564,166,0.00826067766244375
-6.14517,-44.92951,166,0.4357175035627088
-6.13882,-44.92612,167,0.008278508527026936
-6.13829,-44.92228,167,0.4260531099417924
-6.13936,-44.92999,167,0.4347401181549237
-5.37196,-39.80838,168,0.0
-6.20196,-46.72587,169,0.0
-6.20268,-46.73134,170,0.0
-5.80071,-43.99616,171,0.0
-6.12017,-46.70327,172,0.0
-6.12089,-46.70862,173,0.0
-5.05295,-39.14941,174,0.0
-5.27697,-40.97992,175,0.0
-5.24205,-40.99242,176,0.0
-5.94288,-46.52101,177,0.0
-5.14713,-40.98489,178,0.0
-5.4821,-43.36965,179,0.0
-5.52086,-43.64207,180,0.0
-4.87425,-39.34703,181,0.0
-6.05702,-47.96947,182,0.0
-5.99296,-47.64033,183,0.13906444376114313
-5.65166,-45.29223,184,0.23163540686236328
-5.65221,-45.29638,184,0.23163529875231317
-5.64525,-45.28895,185,0.5023518760947001
-5.64471,-45.28489,185,0.9548006127942736
-5.64579,-45.29305,185,0.060062202841525233
-5.64634,-45.2972,185,0.4223798350637917
-5.6469,-45.30143,185,0.8934763930159073
-5.99163,-47.64246,183,0.1390645652824053
-5.05702,-41.10527,186,0.0
-5.64614,-45.28835,185,0.5572134056176414
-5.64671,-45.29244,185,0.11817086816915712
-5.64788,-45.30077,185,0.8379003396293134
-5.64085,-45.29325,187,0.22795317240597113
-5.42258,-43.74172,188,0.0
-5.64028,-45.28917,187,0.22795328223022684
-5.37105,-43.6418,189,0.0
-5.70668,-47.01313,190,0.03335852406995524
-5.70728,-47.01313,190,0.03335852407004365
-5.30065,-44.38529,191,0.0
-4.62994,-39.77646,192,0.0
-5.4901,-46.00199,193,0.0
-4.38223,-38.27687,194,0.0
-5.27706,-44.66244,195,0.0
-5.27147,-44.66324,196,0.0
-5.12149,-43.72638,197,0.0
-5.22533,-45.05893,198,0.0
-5.21955,-45.05949,199,0.0
-4.54601,-40.46822,200,0.0
-5.13237,-44.66043,201,0.0
-5.29214,-47.3686,202,0.23962539790328244
-5.28783,-47.3686,202,0.23962539790328244
-5.14917,-47.72361,203,0.17106835862054942
-4.87783,-45.79834,204,0.12526474022564213
-4.8812,-45.79755,204,0.3782243079552086
-4.88176,-45.80149,204,0.44982777891894443
-4.87568,-45.80172,204,0.39278534173113894
-5.14727,-47.72604,203,0.17106851672751164
-4.87511,-45.7977,204,0.40113725266702505
-4.5786,-43.88396,205,0.0
-4.72521,-45.50204,206,0.10412142129331793
-4.72444,-45.54054,207,0.12021221817045355
-4.72705,-45.50169,206,0.1041214164984598
-4.72658,-45.54023,207,0.12021221438172595
-4.75189,-45.76029,208,0.0
-4.13606,-41.59841,209,0.2438296456448444
-4.1367,-41.60276,209,0.24382954925717357
-4.13287,-41.60774,210,0.0
-4.13414,-41.61644,211,0.0
-4.71306,-45.65715,212,0.0
-4.70593,-45.64937,213,0.0
-3.97906,-40.73093,214,0.0
-4.59188,-45.12849,215,0.0
-4.65809,-45.60861,216,0.37944685140600626
-4.65217,-45.60928,216,0.2836858713075824
-4.6538,-45.60869,216,0.10037704346359867
-4.60946,-45.63542,217,0.0
-4.59066,-45.50255,218,0.0
-4.60358,-45.63638,219,0.0
-4.03425,-41.73273,220,0.0
-4.03168,-41.74662,221,0.0
-4.57411,-45.59782,222,0.0
-4.57474,-45.60234,223,0.0
