latitude,longitude,cluster,centroid_distance
-19.50241,-44.2632,-1,1906.5958808756707
-17.6102,-39.29814,-1,2222.0224535304046
-17.28438,-39.24196,-1,2210.9866551670348
-17.12789,-39.21553,0,0.28365392269765305
-17.12331,-39.21609,0,0.2593129494864114
-17.12881,-39.21843,0,0.40572474119994434
-17.12365,-39.21423,0,0.3354563670356095
-17.12423,-39.21901,0,0.29143653093768584
-17.60895,-46.75683,-1,1570.438825693005
-17.60831,-46.749,-1,1570.9984270952036
-16.81828,-39.3405,1,0.113949892583487
-16.81772,-39.33562,1,0.41194394628855074
-16.81842,-39.33838,1,0.11224229843286262
-16.81901,-39.34323,1,0.4106613150680473
-17.42457,-45.8809,-1,1626.5424902629475
-17.41998,-45.88296,-1,1626.0472785711297
-16.92523,-43.26636,-1,1818.3758449653108
-16.78861,-42.00582,-1,1925.5792192079432
-16.80746,-42.23068,-1,1905.8533491375865
-16.64692,-42.35618,-1,1885.363453009578
-16.45214,-41.4593,-1,1958.7596286903254
-16.41925,-41.83625,2,0.21524867983935245
-16.41969,-41.84026,2,0.21524843942786892
-16.41434,-41.84137,-1,1920.7978897144278
-16.17113,-40.35589,-1,2050.3231468570616
-15.88229,-38.93335,-1,2176.526521577222
-15.76505,-39.99516,-1,2066.845891079518
-15.58438,-38.96863,3,0.23715253668068115
-15.58494,-38.97302,3,0.23715221900329583
-15.5648,-39.211,-1,2135.685946626849
-15.5342,-39.14567,4,0.49629605116140096
-15.53475,-39.15022,4,0.39754145486190834
-15.52974,-39.14624,4,0.36229212176377645
-15.53029,-39.15079,4,0.2045939746072742
-15.52758,-39.15309,4,0.5879769887359111
-15.64676,-40.26093,-1,2035.5109662527013
-15.59238,-40.73204,-1,1986.9234072637366
-15.43497,-40.47478,-1,2005.1237719821202
-15.91301,-45.16331,5,0.4675678357203711
-15.9064,-45.16407,5,0.2721744502725038
-15.34562,-40.53205,-1,1995.5651187992044
-15.6228,-43.26694,-1,1744.915802101539
-15.39642,-41.54494,-1,1898.612653328023
-15.07111,-39.10411,-1,2126.525230221036
-15.27097,-41.61217,6,0.029255885094893772
-15.27147,-41.612,6,0.029255881709589624
-15.48799,-44.17239,-1,1652.908539295725
-15.2838,-42.34626,7,0.1996775142657432
-15.2842,-42.34996,7,0.19967732615776998
-15.30808,-43.39689,-1,1716.1449208317297
-15.30219,-43.39753,-1,1715.7795067321852
-14.80438,-39.29288,-1,2097.243533573129
-15.01547,-41.2204,8,0.15519948103708547
-15.01512,-41.21736,8,0.29255198003482236
-15.01778,-41.21877,8,0.1556470411217257
-15.01814,-41.22184,8,0.2941898180399622
-15.02653,-41.51291,-1,1884.8705367553275
-14.59948,-39.47585,-1,2071.0103434650355
-14.62997,-41.29186,9,0.1582143972306424
-14.63031,-41.29478,9,0.15821427643919883
-14.67705,-43.09235,-1,1714.206377319626
-14.46697,-42.17549,-1,1794.8220413568124
-14.23898,-41.67914,-1,1834.7464586166984
-14.17385,-41.23569,-1,1876.7530481955594
-14.47096,-47.04572,-1,1330.5213386379212
-13.8659,-41.41379,-1,1846.8568915445771
-14.47607,-47.04199,10,0.35101223118222263
-13.86624,-41.76306,-1,1811.4767335555043
-13.69918,-41.04351,-1,1878.4038110821207
-13.66538,-41.01268,-1,1880.341760720834
-13.61924,-40.71436,-1,1909.2786363627947
-13.6168,-41.02463,11,0.14337168499783656
-13.61533,-41.02681,11,0.14337198572846832
-13.52836,-40.76471,-1,1900.9586102248084
-13.52905,-40.7703,-1,1900.40778850807
-13.51275,-40.92112,12,0.5114561760632077
-13.51342,-40.92676,12,0.24080746275001194
-13.50853,-40.92729,12,0.3758763626361156
-13.51111,-40.92381,12,0.2074040919520265
-13.51182,-40.92942,12,0.4056786538769382
-13.45475,-40.99005,-1,1875.25627966662
-13.75547,-43.77152,-1,1605.4730323059239
-13.64452,-43.77964,-1,1599.8531136347533
-13.24082,-42.31791,13,0.15966899887781824
-13.23833,-42.31938,13,0.1596692015298294
-13.29461,-43.47566,-1,1615.8524903145442
-12.91408,-40.37559,-1,1921.4463102322397
-12.85485,-41.83967,-1,1767.3670359534415
-12.68153,-41.42357,-1,1805.075456142694
