latitude,longitude,cluster
-19.50241,-44.2632,-1
-17.6102,-39.29814,-1
-17.28438,-39.24196,-1
-17.12789,-39.21553,0
-17.12331,-39.21609,0
-17.12881,-39.21843,0
-17.12365,-39.21423,0
-17.12423,-39.21901,0
-17.60895,-46.75683,-1
-17.60831,-46.749,-1
-16.81828,-39.3405,1
-16.81772,-39.33562,1
-16.81842,-39.33838,1
-16.81901,-39.34323,1
-17.42457,-45.8809,-1
-17.41998,-45.88296,-1
-16.92523,-43.26636,-1
-16.78861,-42.00582,-1
-16.80746,-42.23068,-1
-16.64692,-42.35618,-1
-16.45214,-41.4593,-1
-16.41925,-41.83625,2
-16.41969,-41.84026,2
-16.41434,-41.84137,-1
-16.17113,-40.35589,-1
-15.88229,-38.93335,-1
-15.76505,-39.99516,-1
-15.58438,-38.96863,3
-15.58494,-38.97302,3
-15.5648,-39.211,-1
-15.5342,-39.14567,4
-15.53475,-39.15022,4
-15.52974,-39.14624,4
-15.53029,-39.15079,4
-15.52758,-39.15309,4
-15.64676,-40.26093,-1
-15.59238,-40.73204,-1
-15.43497,-40.47478,-1
-15.91301,-45.16331,5
-15.9064,-45.16407,5
-15.34562,-40.53205,-1
-15.6228,-43.26694,-1
-15.39642,-41.54494,-1
-15.07111,-39.10411,-1
-15.27097,-41.61217,6
-15.27147,-41.612,6
-15.48799,-44.17239,-1
-15.2838,-42.34626,7
-15.2842,-42.34996,7
-15.30808,-43.39689,-1
-15.30219,-43.39753,-1
-14.80438,-39.29288,-1
-15.01547,-41.2204,8
-15.01512,-41.21736,8
-15.01778,-41.21877,8
-15.01814,-41.22184,8
-15.02653,-41.51291,-1
-14.59948,-39.47585,-1
-14.62997,-41.29186,9
-14.63031,-41.29478,9
-14.67705,-43.09235,-1
-14.46697,-42.17549,-1
-14.23898,-41.67914,-1
-14.17385,-41.23569,-1
-14.47096,-47.04572,-1
-13.8659,-41.41379,-1
-14.47607,-47.04199,10
-13.86624,-41.76306,-1
-13.69918,-41.04351,-1
-13.66538,-41.01268,-1
-13.61924,-40.71436,-1
-13.6168,-41.02463,11
-13.61533,-41.02681,11
-13.52836,-40.76471,-1
-13.52905,-40.7703,-1
-13.51275,-40.92112,12
-13.51342,-40.92676,12
-13.50853,-40.92729,12
-13.51111,-40.92381,12
-13.51182,-40.92942,12
-13.45475,-40.99005,-1
-13.75547,-43.77152,-1
-13.64452,-43.77964,-1
-13.24082,-42.31791,13
-13.23833,-42.31938,13
-13.29461,-43.47566,-1
-12.91408,-40.37559,-1
-12.85485,-41.83967,-1
-12.68153,-41.42357,-1
-12.67654,-41.42419,-1
-13.2252,-47.37776,-1
-12.71842,-43.41367,14
-12.72107,-43.43742,15
-12.71753,-43.41593,14
-12.72034,-43.43965,15
-12.75207,-44.12263,-1
-12.48636,-42.33932,-1
-12.27856,-40.95989,-1
-12.7514,-45.12363,16
-12.75369,-45.1446,-1
-12.7445,-45.11942,-1
-12.74507,-45.12462,16
-12.31497,-42.71652,-1
-12.46141,-44.40685,-1
-12.46089,-44.40225,-1
-12.44825,-44.7222,-1
-12.26539,-44.53802,17
-12.26591,-44.54265,-1
-12.25929,-44.53873,18
-12.25981,-44.54335,-1
-12.32263,-45.16402,19
-12.32319,-45.1692,19
-12.31627,-45.1647,-1
-12.3211,-45.16752,19
-12.32049,-45.16235,19
-11.16307,-37.26692,-1
-11.26867,-38.16673,-1
-11.15581,-37.37845,20
-11.15206,-37.37899,20
-11.29834,-38.81551,-1
-11.78779,-42.92199,-1
-11.40613,-40.12776,-1
-10.88349,-37.13209,-1
-11.09824,-40.68857,-1
-10.88498,-40.52113,21
-10.88589,-40.52414,21
-10.65033,-39.26811,22
-10.65084,-39.27193,22
-10.58302,-38.98542,-1
-10.7029,-40.33776,-1
-10.78957,-41.34117,-1
-11.15277,-44.62417,-1
-11.03219,-44.9192,-1
-9.82179,-35.9008,23
-9.82234,-35.90458,23
-9.81834,-35.90131,23
-9.73917,-35.85466,-1
-10.18256,-39.199,-1
-9.51212,-35.6104,24
-9.51266,-35.61411,24
-9.42573,-36.12183,-1
-10.44586,-44.51925,25
-10.44638,-44.52365,25
-10.43991,-44.52006,25
-10.44043,-44.52446,25
-10.44235,-44.51898,25
-10.4429,-44.52336,25
-10.19342,-42.6624,-1
-10.39037,-44.58813,-1
-9.61057,-40.55945,-1
-8.78096,-35.44468,-1
-8.6592,-35.28236,-1
-8.87893,-38.05093,-1
